CIRCOSCRIZIONE,REGIONE,PROVINCIA,COMUNE,LISTA,VOTI_LISTA
II : ITALIA NORD-ORIENTALE,FRIULI-VENEZIA GIULIA,TRIESTE,SAN DORLIGO DELLA VALLE-DOLINA,LEGA SALVINI PREMIER,805
II : ITALIA NORD-ORIENTALE,TRENTINO-ALTO ADIGE,BOLZANO,LUSON/LÜSEN,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,90
IV : ITALIA MERIDIONALE,PUGLIA,LECCE,PRESICCE,FORZA ITALIA,205
V : ITALIA INSULARE,SICILIA,MESSINA,GIARDINI NAXOS,FORZA ITALIA,548
V : ITALIA INSULARE,SICILIA,PALERMO,CEFALU',MOVIMENTO 5 STELLE,1186
