REGIONE,COMUNE_1
CAMPANIA,CONZA DELLA CAMPANIA
CAMPANIA,CONCA DELLA CAMPANIA
LOMBARDIA,CORTENUOVA
LOMBARDIA,CORTENOVA
PIEMONTE,CARTIGNANO
PIEMONTE,CARIGNANO
PIEMONTE,CERCENASCO
PIEMONTE,MERCENASCO
PIEMONTE,TAVIGLIANO
PIEMONTE,SAVIGLIANO
PIEMONTE,SARDIGLIANO
PIEMONTE,SANDIGLIANO
